invoice_number,vendor_id,po_number,invoice_date,vat_amount,due_date,invoice_amount,outliers,currency,status,invoice_type,department
2023/25316,2000067442,4533105548,16-06-2024,0,16-07-2024,219090,Normal,USD,Disputed,Professional Services,Energy Management
2024/63284,1000064520,4530790855,18-12-2023,51154.8,17-01-2024,255774,Normal,GBP,Overdue,Subscription,Finance
KNX/2023/1089,1000011404,4564367814,17-12-2024,96738.2,17-03-2025,483691,Normal,GBP,In Review,Spares & Components,HR & Admin
2023-ERL-1120,1000023599,4582903416,12-11-2023,78827.4,26-12-2023,394137,Normal,GBP,Paid,Utilities,Quality Assurance
P001106-2023,1000056979,No PO,29-03-2024,49123.6,27-06-2024,245618,Normal,GBP,Overdue,Consultancy,HR & Admin
IUK/2024/1129,1000087316,4519746781,19-04-2024,60590.6,18-07-2024,302953,Normal,GBP,Part Paid,Professional Services,IT Operations
SI-0001085,1000048518,4552915831,27-09-2023,4744.4,27-10-2023,23722,Normal,GBP,Overdue,Professional Services,Digital Industries
FST/2023/1047,1000013105,4518743955,17-10-2024,82805.23,16-12-2024,435817,Normal,EUR,Pending,Annual Maintenance Contract,Procurement
INV2024001105,2000067442,4571755797,19-07-2023,0,18-08-2023,371592,Normal,USD,On Hold,Preventive Maintenance,Automation
SI-0001113,1000056979,4572000995,20-05-2024,47328.2,18-08-2024,236641,Normal,GBP,Paid,Capital Expenditure,Energy Management
INV2023001159,1000060552,4578022221,29-12-2024,3961.88,28-01-2025,20852,Normal,EUR,Paid,Freight & Logistics,Finance
INV2024001125,1000023599,4564942244,13-11-2023,74161.6,28-11-2023,370808,Normal,GBP,Paid,Subscription,Healthcare
PTL/2024/1085,2000083288,4557822552,19-11-2024,0,19-12-2024,404744,Normal,USD,Pending,Tooling,Automation
CMT-2024-01084,2000093507,4538516658,02-11-2024,0,17-11-2024,140999,Normal,USD,Pending,Capital Expenditure,Technical Services
P001080-2024,1000096033,4549702930,26-09-2024,17259.6,25-11-2024,86298,Normal,GBP,Disputed,Subscription,Procurement
INV2024001110,1000022345,4536205501,08-10-2023,42112.6,23-10-2023,210563,Normal,GBP,Hold,Industrial Equipment,HR & Admin
2024-GWI-1143,1000053134,4518907521,22-09-2023,49315.8,22-10-2023,246579,Normal,GBP,On Hold,Preventive Maintenance,Healthcare
2024-KON-1155,1000031867,4581317004,28-09-2023,71322.58,27-11-2023,375382,Normal,EUR,Pending,Spares & Components,Finance
P001067-2023,2000033981,4562271773,19-12-2024,0,02-02-2025,339738,Normal,USD,Overdue,Spares & Components,Smart Infrastructure
2023-PHX-1061,1000078188,4534888404,18-12-2023,10127.19,17-01-2024,53301,Normal,EUR,Pending,Professional Services,R&D
SI-0001106,2000067442,4533105548,25-05-2024,0,24-06-2024,206453,Normal,USD,Pending,Spares & Components,Quality Assurance
CIR00001070,2000040186,4529847717,04-07-2024,0,18-08-2024,383352,Normal,USD,Paid,Capital Expenditure,Smart Infrastructure
SI-0001187,1000064520,4592477969,20-12-2024,27451.6,19-01-2025,137258,Normal,GBP,Hold,Spares & Components,Technical Services
IUK00001139,1000087316,4514099095,05-02-2023,37398.6,06-05-2023,186993,Normal,GBP,Paid,Tooling,Procurement
P001075-2024,2000040186,4545923997,05-05-2024,0,04-06-2024,460360,Normal,USD,Paid,Subscription,HR & Admin
INV2023001041,1000024940,4518378797,11-05-2024,308767.2,25-06-2024,1543836,Normal,GBP,Cancelled,Utilities,Procurement
P001097-2023,1000069628,No PO,10-12-2023,26955.6,09-03-2024,134778,Normal,GBP,Pending,Consultancy,IT Operations
P001149-2024,1000087316,4519746781,24-05-2024,59023.4,22-08-2024,295117,Normal,GBP,Part Paid,Consultancy,HR & Admin
INV2023001160,1000060552,4559305311,04-07-2023,49606.34,03-08-2023,261086,Normal,EUR,Part Paid,Professional Services,Digital Industries
INV2023001164,1000087316,4528200100,04-12-2024,95732.4,04-03-2025,478662,Normal,GBP,Paid,Utilities,HR & Admin
MSL/2023/1134,2000025351,4535093469,03-01-2024,0,02-02-2024,427239,Normal,USD,Paid,Software Licence,Healthcare
2023-DAL-1202,1000064520,4592477969,09-12-2024,28808.6,08-01-2025,144043,Normal,GBP,Pending,Professional Services,Quality Assurance
2023/35040,1000033983,4590642050,04-12-2024,83125.6,04-03-2025,415628,Normal,GBP,Cancelled,Capital Expenditure,R&D
SI-0001088,2000040186,4545923997,07-05-2024,0,06-06-2024,455226,Normal,USD,Pending,Industrial Equipment,Healthcare
PLF00001191,1000035815,4576509626,17-03-2023,46693.4,16-05-2023,233467,Normal,GBP,Cancelled,Capital Expenditure,Quality Assurance
PLF/2024/1203,1000035815,4510446073,12-09-2023,90803.6,11-11-2023,454018,Normal,GBP,Cancelled,Tooling,HR & Admin
PTL00001096,2000083288,4558151831,20-04-2024,0,20-05-2024,302319,Normal,USD,Part Paid,Capital Expenditure,R&D
DAL-2023-01211,1000064520,4573772263,10-07-2023,9303.6,09-08-2023,46518,Normal,GBP,Paid,Software Licence,Finance
INV2024001065,1000021602,4555248603,11-09-2023,44816.06,26-09-2023,235874,Normal,EUR,Cancelled,Software Licence,Smart Infrastructure
2024/39146,1000033983,4593547481,04-06-2024,97565.8,02-09-2024,487829,Normal,GBP,Pending,Annual Maintenance Contract,HR & Admin
CIV-2023-01091,1000096033,4519088643,08-06-2023,69426.8,07-08-2023,347134,Normal,GBP,Disputed,Utilities,Quality Assurance
2023/51995,1000053134,4580118649,12-07-2023,43043.2,11-08-2023,215216,Normal,GBP,Pending,Consultancy,Procurement
P001066-2023,1000095845,4575992324,07-09-2024,82550,07-10-2024,412750,Normal,GBP,Pending,Professional Services,Finance
2023-IUK-1172,1000087316,4592951734,09-03-2024,66823.4,07-06-2024,334117,Normal,GBP,On Hold,Capital Expenditure,Healthcare
SI-0001077,1000095845,4585038888,15-04-2024,23225,15-05-2024,116125,Normal,GBP,Disputed,Software Licence,Smart Infrastructure
2024-ENH-1172,1000060552,4557312063,08-11-2024,37840.21,08-12-2024,199159,Normal,EUR,Part Paid,Professional Services,Automation
KAI00001026,1000034878,4527415243,23-06-2024,21554.4,07-08-2024,107772,Normal,GBP,Paid,Utilities,Smart Infrastructure
PHX-2023-01065,1000078188,4515400671,07-11-2024,2464.11,07-12-2024,12969,Normal,EUR,Overdue,Capital Expenditure,Energy Management
